Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: IDENTIFIER SHIFT to state 16
Current state: 16, Current token: ) REDUCE by rule 31 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: IDENTIFIER SHIFT to state 16
Current state: 16, Current token: ) REDUCE by rule 31 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: IDENTIFIER SHIFT to state 16
Current state: 16, Current token: ) REDUCE by rule 31 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: IDENTIFIER SHIFT to state 16
Current state: 16, Current token: ) REDUCE by rule 31 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: if SHIFT to state 1
Current state: 1, Current token: IDENTIFIER SHIFT to state 16
Current state: 16, Current token: > REDUCE by rule 31 GOTO to state 23
Current state: 23, Current token: > REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: > REDUCE by rule 50 GOTO to state 24
